From	To
Q7JUN9	FBgn0033117
Q9VFT4	FBgn0015778
Q9VR29	FBgn0031631
Q7JRJ1	FBgn0033166
Q9VG26	FBgn0051345
Q9VZM9	FBgn0052264
Q9VZN0	FBgn0052264
Q9VZN2	FBgn0052264
P35005	FBgn0010425
Q9VQG0	FBgn0031456
Q9VPW8	FBgn0016926
Q8T3H7	FBgn0050044
Q9VMB5	FBgn0031834
Q9VMA0	FBgn0031848
P98081	FBgn0000414
Q9VLW7	FBgn0031952
Q9VLS4	FBgn0031992
Q9VPW9	FBgn0031304
Q8MR16	FBgn0032149
Q9VL81	FBgn0032149
Q9VN95	FBgn0037305
Q9VPT2	FBgn0031279
Q8T8V8	FBgn0034842
Q9W1S5	FBgn0034842
Q9U616	FBgn0027945
Q86BP6	FBgn0036574
Q9VUZ2	FBgn0036574
Q9VWS5	FBgn0030940
Q9VJ98	FBgn0032670
Q9VKF0	FBgn0032378
Q9VJ38	FBgn0032720
Q9VSF4	FBgn0035854
Q8T9G7	FBgn0032785
Q9VIW1	FBgn0032785
O96679	FBgn0025781
Q9VCN6	FBgn0025781
Q9W4R9	FBgn0029664
Q9VQI6	FBgn0031478
Q9VM08	FBgn0045495
Q9VJA5	FBgn0032664
Q9W0C9	FBgn0035241
Q9VZU2	FBgn0024194
Q9VFE6	FBgn0038275
Q9VAN0	FBgn0014427
Q8T3H5	FBgn0052199
Q9VVQ9	FBgn0052199
Q5BIF6	FBgn0032813
Q9VIT0	FBgn0032813
Q9VYT1	FBgn0030346
Q9VLF2	FBgn0032089
Q8T8V3	FBgn0035140
Q9W0Q3	FBgn0035140
Q9VIP8	FBgn0003978
Q9VF28	FBgn0038369
Q03042	FBgn0000442
Q9VHN1	FBgn0037613
Q9VH36	FBgn0037780
P17971	FBgn0005564
O76932	FBgn0023177
Q86BS8	FBgn0039260
Q8MZI0	FBgn0039260
Q9VBZ6	FBgn0039260
Q8IGW2	FBgn0051098
Q8IH36	FBgn0051098
Q9VBT1	FBgn0051098
P25167	FBgn0004463
Q9VFT3	FBgn0010258
Q9VNR6	FBgn0010830
Q7YU85	FBgn0027598
Q86PF3	FBgn0027598
Q9VA35	FBgn0027598
Q9VA36	FBgn0027598
Q9Y154	FBgn0027598
Q7KLX0	FBgn0024542
Q9U9Q2	FBgn0024542
Q9Y106	FBgn0027546
Q8MME5	FBgn0028371
Q95U66	FBgn0028371
Q961W2	FBgn0028371
Q9W204	FBgn0028371
Q9W205	FBgn0028371
Q9NBD7	FBgn0021760
O96818	FBgn0026418
Q9VUC1	FBgn0026418
Q9XZT5	FBgn0026418
P09085	FBgn0000251
Q24210	FBgn0013759
Q9VGL8	FBgn0037917
Q9VRB7	FBgn0031129
Q2XVY6	FBgn0039044
Q2XVY7	FBgn0039044
Q8IH92	FBgn0039044
Q8IMZ4	FBgn0039044
Q9N6D8	FBgn0039044
Q9VW42	FBgn0040786
Q9I7M1	FBgn0042129
Q7K0S8	FBgn0031143
Q9VRD4	FBgn0031143
Q94535	FBgn0017457
Q9VR51	FBgn0031184
Q9W0D7	FBgn0035233
Q9VPW1	FBgn0015905
Q9VQ26	FBgn0051935
Q9I7X6	FBgn0023522
Q9VPY9	FBgn0031322
Q9VEV3	FBgn0038428
Q9VQ02	FBgn0031333
Q9VQ83	FBgn0031395
Q9VQ84	FBgn0031395
Q0E9F9	FBgn0033241
Q9VFI9	FBgn0038237
Q0E8U4	FBgn0031489
Q8MRW0	FBgn0031489
A1Z741	FBgn0042135
A1Z742	FBgn0042135
Q7JUR6	FBgn0042135
Q95T84	FBgn0035484
Q9VZJ8	FBgn0035484
Q9VSI1	FBgn0035878
Q9VMN3	FBgn0031730
Q8MMD2	FBgn0035060
Q8MMD3	FBgn0035060
Q8WQ61	FBgn0035060
Q9W111	FBgn0035060
Q7K4E0	FBgn0050440
Q8SZ99	FBgn0031766
Q9VMI8	FBgn0031766
Q23989	FBgn0003187
Q9VLK3	FBgn0032049
Q0E8K8	FBgn0035103
Q8T3Z0	FBgn0035638
Q8IQH4	FBgn0036317
Q8IQH5	FBgn0036317
Q8SYY0	FBgn0036317
Q9VU18	FBgn0036317
Q8SZ06	FBgn0039958
Q9VJQ6	FBgn0040228
P46863	FBgn0004378
Q8T6L6	FBgn0039157
Q8T6L7	FBgn0039157
Q961G2	FBgn0039157
Q9VHX3	FBgn0040524
Q9V769	FBgn0013773
Q27934	FBgn0013725
P28668	FBgn0005674
Q9VJ61	FBgn0032702
Q9VWD6	FBgn0031060
Q95SK5	FBgn0042712
Q9W074	FBgn0042712
P51521	FBgn0003028
Q9VD65	FBgn0038915
P61851	FBgn0003462
P42283	FBgn0283521
P42284	FBgn0283521
Q7KQZ4	FBgn0283521
Q27589	FBgn0011576
Q9V813	FBgn0034215
Q7K5M6	FBgn0010620
Q7JZN0	FBgn0010638
Q9VJE4	FBgn0032634
P82149	FBgn0011297
Q27333	FBgn0011297
Q9VGF9	FBgn0000147
P12426	FBgn0000109
P06002	FBgn0002940
Q24096	FBgn0011739
Q24590	FBgn0011739
Q86NM6	FBgn0011739
Q9VA38	FBgn0011739
Q9U6P5	FBgn0028504
Q9VZZ7	FBgn0028504
Q9VMG8	FBgn0031785
P12982	FBgn0004103
P18487	FBgn0002036
P36872	FBgn0004889
Q9VHK8	FBgn0286516
Q9VDM7	FBgn0038795
P23226	FBgn0002645
Q24036	FBgn0014163
Q86BI4	FBgn0014163
Q95RI5	FBgn0014163
Q27421	FBgn0003016
O44342	FBgn0004003
Q9VKW8	FBgn0032240
Q9VJZ6	FBgn0032509
Q6NLL1	FBgn0033177
A1ZBH1	FBgn0034418
Q7K4M9	FBgn0034418
Q8IGB6	FBgn0034418
Q9W1L8	FBgn0034887
Q9W0M9	FBgn0035161
Q5U0Z2	FBgn0035630
Q9VRP2	FBgn0035630
Q9VRS0	FBgn0035657
Q9VSF5	FBgn0035855
Q9VGN7	FBgn0037901
Q9VXY1	FBgn0030614
A1Z9I6	FBgn0033884
Q7K199	FBgn0033884
Q0E940	FBgn0034237
P36975	FBgn0011288
Q9V3K7	FBgn0028507
Q7KM03	FBgn0005640
Q7KM04	FBgn0005640
Q7KM05	FBgn0005640
Q7KM08	FBgn0005640
Q7YUC0	FBgn0005640
Q8MZ44	FBgn0005640
Q94888	FBgn0005640
Q9XTK9	FBgn0005640
Q9V439	FBgn0040339
Q9W1Q0	FBgn0034863
Q9NGN6	FBgn0005683
Q9VKW2	FBgn0005683
Q01295	FBgn0283451
Q24206	FBgn0283451
A1ZBR5	FBgn0034483
Q9VG95	FBgn0010041
Q9VG98	FBgn0010038
Q7JVI6	FBgn0033381
Q7JVZ8	FBgn0034354
Q8SXQ9	FBgn0038029
Q7KK90	FBgn0034335
Q24498	FBgn0011286
P25843	FBgn0000308
Q24113	FBgn0015520
Q7JPC7	FBgn0015520
Q8MS20	FBgn0015520
Q7K1D9	FBgn0051038
Q8MYX8	FBgn0051038
Q9VAE7	FBgn0051038
Q7Z1Y4	FBgn0052311
Q8SXC1	FBgn0052311
Q9W053	FBgn0052311
Q9VCS5	FBgn0085404
Q9VDU4	FBgn0038730
Q9VSU6	FBgn0035964
Q8IGF3	FBgn0039897
Q8IMB8	FBgn0039897
Q8IMB9	FBgn0039897
Q8SXK8	FBgn0039897
Q9V4C1	FBgn0039897
Q0E8X9	FBgn0040063
Q8T8W5	FBgn0040063
Q9NIU4	FBgn0040063
Q7K1Y4	FBgn0033972
A1Z9S1	FBgn0050077
Q9VTE0	FBgn0036118
Q9VTI5	FBgn0036162
Q7JVI3	FBgn0033902
Q7JZT9	FBgn0030914
Q9VWW1	FBgn0030914
Q9VWK9	FBgn0030994
Q8IGL2	FBgn0032586
Q8IP18	FBgn0032586
Q9V3W1	FBgn0032586
Q9VD07	FBgn0038968
Q8T492	FBgn0036183
Q9VTL0	FBgn0036183
Q9VTL6	FBgn0036188
Q9I7R1	FBgn0036211
O77410	FBgn0025582
Q7JWD3	FBgn0033191
Q8IH28	FBgn0033191
Q7KKI9	FBgn0028410
Q9VK37	FBgn0028410
Q27597	FBgn0015623
Q7KY04	FBgn0016701
Q8MSX0	FBgn0016701
Q9W508	FBgn0023550
A1Z729	FBgn0033205
Q9VG46	FBgn0038070
Q9VEK4	FBgn0038506
Q9VCC8	FBgn0039154
Q9V3T1	FBgn0040347
Q24276	FBgn0011573
Q9VUC3	FBgn0036405
P32100	FBgn0005593
Q9Y109	FBgn0027549
Q5BI57	FBgn0029873
Q9W3Z5	FBgn0029873
Q9VMA3	FBgn0000392
Q9VT38	FBgn0036035
Q9VNJ5	FBgn0029088
Q8MQK5	FBgn0036505
Q95RY2	FBgn0036505
Q9VUQ1	FBgn0036505
Q9VR30	FBgn0031632
Q8MRB5	FBgn0039053
Q9VCQ8	FBgn0039053
Q9VPH3	FBgn0036977
P10735	FBgn0003714
Q8SYV4	FBgn0038989
Q9VCY1	FBgn0038989
Q9VNG1	FBgn0037360
Q8T913	FBgn0037781
Q9VI08	FBgn0037432
Q9VI34	FBgn0037456
A1ZB68	FBgn0063497
Q8SYR1	FBgn0063497
P56175	FBgn0020909
Q9VHP1	FBgn0037603
A1Z7L1	FBgn0033354
A1Z784	FBgn0033246
Q7JV23	FBgn0033246
Q9U969	FBgn0003656
A1Z7P1	FBgn0033377
Q5BHU7	FBgn0033377
Q86NU8	FBgn0033377
Q95RR7	FBgn0033377
Q95X10	FBgn0033377
Q9VTL5	FBgn0036187
Q9VHV5	FBgn0037551
A1Z866	FBgn0033504
A1Z867	FBgn0033504
A1Z869	FBgn0033504
A1Z870	FBgn0033504
A1Z871	FBgn0033504
A1Z872	FBgn0033504
Q7JR75	FBgn0033504
Q7K1M7	FBgn0033504
Q86P80	FBgn0033504
Q8IGB7	FBgn0033504
Q8IGN4	FBgn0033504
Q966U7	FBgn0033504
Q966U8	FBgn0033504
Q966U9	FBgn0033504
Q966V0	FBgn0033504
Q966V1	FBgn0033504
Q8SWQ9	FBgn0042177
Q8T094	FBgn0042177
Q9VV82	FBgn0042177
A1Z8C0	FBgn0033549
Q7JZM5	FBgn0033549
Q6WAR0	FBgn0031145
Q6WAR9	FBgn0031145
Q9VRD6	FBgn0031145
Q9VJ26	FBgn0032731
Q7JYV7	FBgn0033754
P18289	FBgn0001291
Q7K049	FBgn0033238
Q8IHA0	FBgn0033238
Q7K1U0	FBgn0033926
Q9W2P0	FBgn0034569
Q9W1R4	FBgn0034853
Q8MRE3	FBgn0036897
Q8SZQ1	FBgn0036897
Q9VW25	FBgn0036897
Q8MYW5	FBgn0037317
Q86BS2	FBgn0037391
Q960F7	FBgn0037391
Q9VH31	FBgn0037783
Q9VA37	FBgn0039802
Q9VQI5	FBgn0051694
Q9VNF4	FBgn0051546
Q24454	FBgn0003087
Q9U1K1	FBgn0003475
P25160	FBgn0000115
Q94527	FBgn0014018
O97428	FBgn0026084
Q8IRS7	FBgn0026084
Q9VQA7	FBgn0031412
Q9VUG3	FBgn0036437
Q8IMK7	FBgn0086361
Q961C5	FBgn0086361
Q9VAK1	FBgn0086361
A1ZB29	FBgn0034299
Q7K2J3	FBgn0034299
Q8SZQ0	FBgn0034299
Q9W2Q5	FBgn0034558
Q9W1J7	FBgn0034904
Q9VEZ5	FBgn0024222
Q9V3G9	FBgn0040371
Q8MR61	FBgn0035169
Q9W0M0	FBgn0035169
Q961W1	FBgn0036992
Q9VPF3	FBgn0036992
Q8IGC8	FBgn0035298
Q9W058	FBgn0035298
Q7JY00	FBgn0037084
Q7KPI3	FBgn0024941
Q9VXA3	FBgn0024941
Q9XZ63	FBgn0027095
Q9VXJ0	FBgn0030731
Q7KT11	FBgn0032889
Q8SZU0	FBgn0032889
Q9VIJ0	FBgn0032889
O62619	FBgn0267385
Q9VWD0	FBgn0052528
O18335	FBgn0015790
Q8IGH2	FBgn0015790
Q94918	FBgn0003984
Q24175	FBgn0015926
Q9W088	FBgn0027903
Q24211	FBgn0016976
P49258	FBgn0011273
O61491	FBgn0024754
Q9W0A7	FBgn0035255
Q9VFA3	FBgn0038311
Q9VCU8	FBgn0039017
O61267	FBgn0019686
O18332	FBgn0285937
Q8MRA4	FBgn0285937
Q7KRS6	FBgn0016919
Q9V9R6	FBgn0016919
Q9VGW6	FBgn0017577
O61305	FBgn0024804
Q7JVW9	FBgn0028546
Q9V428	FBgn0028546
Q8INQ9	FBgn0020249
Q8INR0	FBgn0020249
Q9XYA7	FBgn0020249
O18640	FBgn0020618
Q8T979	FBgn0034774
Q9W200	FBgn0034774
Q9W139	FBgn0035034
Q4V5H8	FBgn0037460
Q9VI39	FBgn0037461
Q9VFQ4	FBgn0038186
Q9V785	FBgn0033988
O96299	FBgn0022359
Q5U160	FBgn0036772
Q8T9D2	FBgn0036772
Q9VVM8	FBgn0036772
Q7K537	FBgn0038115
Q9VFZ4	FBgn0038115
Q9VFV9	FBgn0038145
A1Z7J1	FBgn0024189
Q9V4Y0	FBgn0024189
O61444	FBgn0024326
Q9VHR8	FBgn0037580
Q7KU90	FBgn0028582
Q7KU93	FBgn0028582
Q9VS85	FBgn0028582
Q9V877	FBgn0003545
Q9VPE6	FBgn0052428
P46222	FBgn0013325
P54351	FBgn0266464
Q8SYD0	FBgn0032744
Q24319	FBgn0014868
Q23977	FBgn0010303
P22745	FBgn0000158
P50887	FBgn0015288
Q9VSN7	FBgn0035922
Q9W3D5	FBgn0030053
Q7KNC5	FBgn0013576
Q7KTR7	FBgn0013576
Q7KTR8	FBgn0013576
Q8IPN6	FBgn0013576
Q8IPN7	FBgn0013576
Q8IPN8	FBgn0013576
