Proteins,C1,C2,C3,C4,C5,Labels
Q8IN21,0.011086606133922719,0.0022160664819944596,0.3829024469865615,0.00010621238719356071,4.907329585571737e+35,0
Q9VD71,0.00907200022452902,0.0021369212504946575,0.38736029445060827,0.00013709842029052772,5.2532561614501035e+35,0
P91931,5.287003609240198e-05,0.0013454689354966362,0.3778801168844293,7.270472663439729e-05,3.243094824015027e+35,0
Q9W0L7,0.008042054255292206,0.01598733676296003,0.4012344850992685,0.003080209156180124,2.9216022818786647e+36,0
Q9V9Z1,3.1256936489660633e-05,0.0004748713889988128,0.3758155784926113,1.4183533801363914e-07,2.513629673745043e+35,0
Q9VLB2,0.007062176123748495,0.0004748713889988128,0.3771932949474531,5.1972664663679e-07,2.587603030482241e+35,1
Q9VLC0,0.006201024991707084,0.0019786307874950534,0.3885649946777086,0.00027770571675755093,5.044173604284093e+35,0
Q86NL4,0.012216292229839557,0.000633161851998417,0.3765668629029456,4.5338364646292277e-07,2.9007888086777205e+35,0
Q9VMQ8,0.00508016828463298,0.001187178472497032,0.37740256903767455,8.874218658069276e-05,3.3374125901401505e+35,0
Q7JVY2,0.008825886247957448,0.0022952117134942616,0.3873480400914039,0.00013254117945520112,5.583216909738966e+35,1
P55841,0.010892552037146322,0.004669568658488326,0.3882446506417629,0.00045458263885659434,9.110020182095644e+35,1
Q9W5W6,0.009000416679879972,0.0007123070834982192,0.3769030212180409,0.00013687878753986004,2.6117808940385362e+35,0
Q8INB9,0.020502858396502347,0.015829046299960427,0.40128708532017815,0.0028835578375896965,6.286268098789248e+36,0
Q9NIR3,0.009830270280421678,0.0018203403244954491,0.3786513961927658,6.056292894286972e-05,3.5129708301413964e+35,0
Q9NIR4,0.011429160081296165,0.001266323703996834,0.3769494349882789,2.2013438849064395e-05,3.127280030113926e+35,0
Q9NIR5,0.011429160081296165,0.001266323703996834,0.3769494349882789,2.2013438849064395e-05,3.127280030113926e+35,0
Q9VID3,0.007284977126315806,0.0018994855559952512,0.3788622918277516,0.00011137056530164494,3.516477932438273e+35,0
Q9W1H5,0.0070302299444065155,0.0020577760189948555,0.3819230652013249,0.0001053303345379025,5.51920523334168e+35,0
Q9VYD4,0.011474890387767014,0.0016620498614958448,0.3798378019943936,1.7401755476031426e-05,4.3638561666930906e+35,0
Q7KLX3,0.00385462010965865,0.009893153937475266,0.3919733504270345,0.0014763016232134912,3.5611354432287397e+36,0
P48456,0.00909644481355232,0.0026117926394934703,0.3813520898025127,0.00039880460252005024,4.6979619719865496e+35,0
Q9XYM0,0.009739934605644476,0.0026909378709932723,0.3799556725303111,0.00021762816309400736,4.3764727226462194e+35,0
Q9V7A7,0.008754365132899225,0.0008705975464978234,0.3810198085355306,2.311514010249212e-05,3.187339404083809e+35,0
Q9I7K6,0.007917587813614345,0.0003957261574990107,0.378020115692784,9.65403221127957e-06,2.7388401828173262e+35,0
Q7KUK1,0.015496069053225576,0.0035615354174910957,0.3838868646273483,0.00016028405876550013,5.9431599745696904e+35,0
Q8T0E0,0.014762264158884228,0.0033240997229916896,0.3838387268343608,0.00015181191455885536,5.705116652526978e+35,0
Q9VUD7,0.015265576514989013,0.0034032449544914916,0.3838507601507705,0.00015181191455885536,5.833211784550121e+35,0
O76934,0.013097992190553624,0.001187178472497032,0.3766827118070843,1.1186564050253552e-06,3.3190682161558105e+35,0
Q9NFX3,0.013097992190553624,0.001187178472497032,0.3766827118070843,1.1186564050253552e-06,3.3190682161558105e+35,0
Q9VCV4,0.008890538222222494,0.0015037593984962405,0.3809960963154394,2.068444311484259e-05,4.0561011587226115e+35,0
Q9I7D3,0.0075543612316607,0.0009497427779976256,0.37798510626645504,8.79209529641445e-06,3.39890159877292e+35,0
