locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
FBgn0029815,,1,347,NE,Nonessential
FBgn0029816,,1,347,NE,Nonessential
FBgn0029817,,1,347,NE,Nonessential
FBgn0029818,,1,347,NE,Nonessential
FBgn0029819,,1,347,NE,Nonessential
FBgn0029820,,1,347,NE,Nonessential
FBgn0029821,,1,347,NE,Nonessential
FBgn0029822,,1,347,E,Essential
FBgn0029823,,1,347,NE,Nonessential
FBgn0029824,,1,347,NE,Nonessential
FBgn0029825,,1,347,NE,Nonessential
FBgn0029826,,1,347,NE,Nonessential
FBgn0029827,,1,347,NE,Nonessential
FBgn0029828,,1,347,NE,Nonessential
FBgn0029830,,1,347,E,Essential
FBgn0029831,,1,347,NE,Nonessential
FBgn0029833,,1,347,NE,Nonessential
FBgn0029834,,1,347,NE,Nonessential
FBgn0029835,,2,"363,347","NE,NE",Nonessential
FBgn0029836,,1,347,NE,Nonessential
FBgn0029837,,1,347,NE,Nonessential
FBgn0029838,,1,347,NE,Nonessential
FBgn0029839,,1,347,NE,Nonessential
FBgn0029840,,1,347,NE,Nonessential
FBgn0029843,,1,347,NE,Nonessential
FBgn0029846,,1,347,NE,Nonessential
FBgn0029848,,1,347,NE,Nonessential
FBgn0029849,,1,347,NE,Nonessential
FBgn0029850,,1,347,NE,Nonessential
FBgn0029851,,1,347,NE,Nonessential
FBgn0029853,,1,347,NE,Nonessential
FBgn0029854,,1,347,NE,Nonessential
FBgn0029857,,1,347,NE,Nonessential
FBgn0029858,,1,347,NE,Nonessential
FBgn0029859,,1,347,NE,Nonessential
FBgn0029860,,1,347,NE,Nonessential
FBgn0029861,,1,347,NE,Nonessential
FBgn0029863,,1,347,NE,Nonessential
FBgn0029864,,2,"347,363","NE,NE",Nonessential
FBgn0029866,,1,347,NE,Nonessential
FBgn0029867,,1,347,NE,Nonessential
FBgn0029868,,1,347,NE,Nonessential
FBgn0029870,,1,347,NE,Nonessential
FBgn0029873,,1,347,E,Essential
FBgn0029874,,1,347,NE,Nonessential
FBgn0029877,,1,347,NE,Nonessential
FBgn0029878,,1,347,NE,Nonessential
FBgn0029879,,1,347,NE,Nonessential
FBgn0029880,,1,347,NE,Nonessential
FBgn0029881,,1,347,NE,Nonessential
FBgn0029882,,1,347,NE,Nonessential
FBgn0029885,,1,347,NE,Nonessential
FBgn0029887,,1,347,NE,Nonessential
FBgn0029888,,1,347,NE,Nonessential
FBgn0029890,,1,347,NE,Nonessential
FBgn0029891,,1,347,NE,Nonessential
FBgn0029892,,1,347,NE,Nonessential
FBgn0029893,,1,347,NE,Nonessential
FBgn0029894,,1,347,NE,Nonessential
FBgn0029895,,1,347,NE,Nonessential
FBgn0029896,,1,347,NE,Nonessential
FBgn0029897,,1,347,NE,Nonessential
FBgn0029898,,1,347,NE,Nonessential
FBgn0029899,,1,347,NE,Nonessential
FBgn0029903,,1,347,NE,Nonessential
FBgn0029905,,1,347,E,Essential
FBgn0029906,,1,347,NE,Nonessential
FBgn0029907,,1,347,NE,Nonessential
FBgn0029909,,1,347,NE,Nonessential
FBgn0029911,,1,347,NE,Nonessential
FBgn0029912,,1,347,NE,Nonessential
FBgn0029913,,1,347,NE,Nonessential
FBgn0029914,,1,347,NE,Nonessential
FBgn0029915,,1,347,NE,Nonessential
FBgn0029920,,1,347,NE,Nonessential
FBgn0029922,,1,347,NE,Nonessential
FBgn0029924,,1,347,NE,Nonessential
FBgn0029925,,1,347,NE,Nonessential
FBgn0029928,,1,347,NE,Nonessential
FBgn0029929,,1,347,NE,Nonessential
FBgn0029930,,1,347,NE,Nonessential
FBgn0029931,,1,347,NE,Nonessential
FBgn0029932,,1,347,NE,Nonessential
FBgn0029933,,1,347,NE,Nonessential
FBgn0029935,,1,347,NE,Nonessential
FBgn0029936,,1,347,NE,Nonessential
FBgn0029937,,1,347,NE,Nonessential
FBgn0029939,,1,347,NE,Nonessential
FBgn0029940,,1,347,NE,Nonessential
FBgn0029941,,1,347,NE,Nonessential
FBgn0029942,,1,347,NE,Nonessential
FBgn0029943,,2,"347,363","NE,NE",Nonessential
FBgn0029944,,1,347,NE,Nonessential
FBgn0029945,,1,347,NE,Nonessential
FBgn0029946,,1,347,NE,Nonessential
FBgn0029947,,1,347,NE,Nonessential
FBgn0029948,,1,347,NE,Nonessential
FBgn0029949,,1,347,NE,Nonessential
FBgn0029950,,1,347,NE,Nonessential
FBgn0029951,,1,347,NE,Nonessential
FBgn0029952,,1,347,NE,Nonessential
FBgn0029955,,1,347,NE,Nonessential
FBgn0029957,,1,347,NE,Nonessential
FBgn0029958,,1,347,NE,Nonessential
FBgn0029959,,1,347,NE,Nonessential
FBgn0029961,,1,347,NE,Nonessential
FBgn0029962,,2,"347,363","NE,NE",Nonessential
FBgn0029963,,1,347,NE,Nonessential
FBgn0029964,,1,347,NE,Nonessential
FBgn0029965,,1,347,NE,Nonessential
FBgn0029966,,1,347,NE,Nonessential
FBgn0029968,,1,347,NE,Nonessential
FBgn0029969,,1,347,NE,Nonessential
FBgn0029970,,1,347,NE,Nonessential
FBgn0029971,,1,347,NE,Nonessential
